sampleID,SRRID
Muscle_10, SRR10695931 SRR7807272
Muscle_11, SRR10695932 SRR7807273
Muscle_12, SRR10695933 SRR7807274
Muscle_13, SRR10695934 SRR7807275
Muscle_14, SRR10695935 SRR7807276
Muscle_1, SRR10695936 SRR7807277
Muscle_2, SRR10695937 SRR7807278
Muscle_3, SRR10695938 SRR7807279
Muscle_4, SRR10695939 SRR7807280
Muscle_5, SRR10695940 SRR7807281
Muscle_6, SRR10695941 SRR7807282
Muscle_7, SRR10695942 SRR7807283
Muscle_8, SRR10695943 SRR7807284
Muscle_9, SRR10695944 SRR7807285
Heart_11, SRR10695998 SRR7807342
Heart_12, SRR10695999 SRR7807343
Heart_13, SRR10696000 SRR7807344
Heart_14, SRR10696001 SRR7807345
Heart_1, SRR10696002 SRR7807346
Heart_2, SRR10696003 SRR7807347
Heart_3, SRR10696004 SRR7807348
Heart_4, SRR10696005 SRR7807349
Heart_5, SRR10696006 SRR7807350
Heart_6, SRR10696007 SRR7807351
Heart_7, SRR10696008 SRR7807352
Heart_8, SRR10696009 SRR7807353
Heart_9, SRR10696010 SRR7807354
